Connecting to host 10.0.0.2, port 5201
[  7] local 10.0.0.1 port 58844 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.00   sec  1.25 MBytes  10.5 Mbits/sec    9   14.1 KBytes       
[  7]   1.00-2.00   sec  1.00 MBytes  8.39 Mbits/sec   11   12.7 KBytes       
[  7]   2.00-3.00   sec  1.12 MBytes  9.44 Mbits/sec   11   12.7 KBytes       
[  7]   3.00-4.00   sec  1.12 MBytes  9.44 Mbits/sec   11   11.3 KBytes       
[  7]   4.00-5.00   sec  1.12 MBytes  9.44 Mbits/sec   11   15.6 KBytes       
[  7]   5.00-6.00   sec  1.12 MBytes  9.44 Mbits/sec   10   14.1 KBytes       
[  7]   6.00-7.00   sec  1.12 MBytes  9.44 Mbits/sec   11   14.1 KBytes       
[  7]   7.00-8.00   sec  1.12 MBytes  9.44 Mbits/sec   11   11.3 KBytes       
[  7]   8.00-9.00   sec  1.12 MBytes  9.44 Mbits/sec   10   12.7 KBytes       
[  7]   9.00-10.00  sec  1.00 MBytes  8.39 Mbits/sec   11   9.90 KBytes       
[  7]  10.00-11.00  sec  1.12 MBytes  9.43 Mbits/sec   11   8.48 KBytes       
[  7]  11.00-12.00  sec  1.12 MBytes  9.44 Mbits/sec   10   11.3 KBytes       
[  7]  12.00-13.00  sec  1.12 MBytes  9.44 Mbits/sec   11   11.3 KBytes       
[  7]  13.00-14.00  sec  1.12 MBytes  9.44 Mbits/sec   11   9.90 KBytes       
[  7]  14.00-15.00  sec  1.12 MBytes  9.44 Mbits/sec   11   8.48 KBytes       
[  7]  15.00-16.00  sec  1.00 MBytes  8.39 Mbits/sec   10   11.3 KBytes       
[  7]  16.00-17.00  sec  1.00 MBytes  8.39 Mbits/sec   11   12.7 KBytes       
[  7]  17.00-18.00  sec  1.12 MBytes  9.44 Mbits/sec   10   15.6 KBytes       
[  7]  18.00-19.00  sec  1.12 MBytes  9.44 Mbits/sec   11   14.1 KBytes       
[  7]  19.00-20.00  sec  1.12 MBytes  9.43 Mbits/sec   12   8.48 KBytes       
[  7]  20.00-21.00  sec  1.12 MBytes  9.44 Mbits/sec   10   12.7 KBytes       
[  7]  21.00-22.00  sec  1.12 MBytes  9.44 Mbits/sec   11   11.3 KBytes       
[  7]  22.00-23.00  sec  1.00 MBytes  8.39 Mbits/sec   11   9.90 KBytes       
[  7]  23.00-24.00  sec  1.12 MBytes  9.43 Mbits/sec   10   12.7 KBytes       
[  7]  24.00-25.00  sec  1.12 MBytes  9.44 Mbits/sec   11   14.1 KBytes       
[  7]  25.00-26.00  sec  1.12 MBytes  9.44 Mbits/sec   11   12.7 KBytes       
[  7]  26.00-27.00  sec  1.12 MBytes  9.43 Mbits/sec   11   11.3 KBytes       
[  7]  27.00-28.00  sec  1.12 MBytes  9.44 Mbits/sec   11   9.90 KBytes       
[  7]  28.00-29.00  sec  1.12 MBytes  9.44 Mbits/sec   10   14.1 KBytes       
[  7]  29.00-30.00  sec  1.00 MBytes  8.39 Mbits/sec   12   8.48 KBytes       
[  7]  30.00-31.00  sec  1.12 MBytes  9.43 Mbits/sec   10   11.3 KBytes       
[  7]  31.00-32.00  sec  1.12 MBytes  9.44 Mbits/sec   11   11.3 KBytes       
[  7]  32.00-33.00  sec  1.12 MBytes  9.44 Mbits/sec   11   11.3 KBytes       
[  7]  33.00-34.00  sec  1.12 MBytes  9.44 Mbits/sec   10   12.7 KBytes       
[  7]  34.00-35.00  sec  1.00 MBytes  8.38 Mbits/sec   11   11.3 KBytes       
[  7]  35.00-36.00  sec  1.12 MBytes  9.44 Mbits/sec   11   14.1 KBytes       
[  7]  36.00-37.00  sec  1.12 MBytes  9.44 Mbits/sec   11   9.90 KBytes       
[  7]  37.00-38.00  sec  1.00 MBytes  8.38 Mbits/sec   11   9.90 KBytes       
