PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=1.13 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=0.361 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=0.071 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=0.067 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=0.098 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=0.065 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=0.099 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=0.083 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=0.072 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=0.072 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=0.068 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=0.078 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=34.1 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=6.37 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=8.47 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=8.11 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=7.36 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=7.90 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=8.92 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=7.31 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=6.57 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=8.86 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=8.45 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=9.67 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=10.4 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=9.28 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=10.4 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=9.66 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=8.09 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=10.3 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=9.22 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=7.53 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=11.0 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=11.5 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=6.92 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=6.81 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=7.73 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=5.90 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=6.93 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=8.20 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=9.54 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=8.03 ms
