PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=1.14 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=0.375 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=0.070 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=0.074 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=0.070 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=0.064 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=0.071 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=0.071 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=0.072 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=0.074 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=0.098 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=0.071 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=0.076 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=0.081 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=0.077 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=0.075 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=3.50 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=2.33 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=1.83 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=0.434 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=2.56 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.739 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=1.08 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.915 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=0.672 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=2.78 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=1.32 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=0.319 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=0.850 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=0.473 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=2.07 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=4.34 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=2.49 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=2.70 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=1.64 ms
