PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=0.425 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=0.073 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=0.068 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=0.067 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=0.077 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=0.071 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=0.080 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=0.069 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=0.069 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=0.061 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=0.061 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=56.7 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=107 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=158 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=207 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=257 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=306 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=358 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=408 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=455 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=505 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=571 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=712 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=884 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=1089 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=1331 ms
